               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/banana_mAP,metrics/broccoli_mAP,metrics/egg carton_mAP,    metrics/eggs_mAP,    metrics/milk_mAP, metrics/yoghurt_mAP,metrics/banana_mAP_50,metrics/broccoli_mAP_50,metrics/egg carton_mAP_50, metrics/eggs_mAP_50, metrics/milk_mAP_50,metrics/yoghurt_mAP_50
                  30,            0.028402,             0.02917,           0.0066976,             0.85028,             0.51327,             0.63128,             0.37757,            0.015206,           0.0086317,           0.0032046,            0.007129,            0.007129,            0.007129,             0.37562,             0.47643,            0.016163,              0.6187,             0.45351,             0.32501,             0.63567,             0.78356,            0.027636,             0.92921,             0.70345,             0.70816
                  31,            0.029425,            0.028083,           0.0075118,             0.49415,             0.59656,             0.58974,             0.35783,            0.014452,           0.0093486,           0.0029903,             0.00703,             0.00703,             0.00703,             0.36245,             0.40042,            0.049363,             0.70704,             0.37264,             0.25508,              0.6431,             0.71215,             0.10335,             0.90941,             0.56672,             0.60372
                  32,            0.027646,             0.02627,           0.0065641,             0.63237,             0.59124,             0.61628,             0.36583,            0.014279,           0.0087147,            0.003431,            0.006931,            0.006931,            0.006931,             0.32843,             0.42491,             0.01511,             0.67393,             0.41399,             0.33859,              0.6531,             0.76401,            0.022301,             0.92003,             0.65295,             0.68532
                  33,            0.027353,            0.026324,           0.0057575,             0.58178,             0.52588,             0.58098,             0.34193,            0.014519,           0.0089435,           0.0038867,            0.006832,            0.006832,            0.006832,             0.32898,             0.37172,            0.027491,             0.66288,              0.3519,             0.30861,             0.61463,             0.69218,            0.046429,             0.89847,             0.63915,             0.59505
                  34,            0.028705,            0.026199,           0.0064037,             0.72454,             0.56677,             0.57862,             0.30669,            0.014937,           0.0093148,           0.0038325,            0.006733,            0.006733,            0.006733,             0.30459,             0.25435,            0.012727,             0.62766,               0.355,             0.28582,             0.56847,             0.60137,            0.017727,             0.90834,             0.71414,             0.66166
                  35,            0.027698,            0.028024,           0.0061055,             0.76475,             0.52043,             0.58576,             0.36785,             0.01489,           0.0089794,           0.0035088,            0.006634,            0.006634,            0.006634,             0.31077,             0.44669,            0.018707,             0.68388,             0.44241,             0.30462,             0.66796,             0.60897,            0.030264,             0.93723,             0.71627,             0.55386
                  36,            0.026735,            0.028821,           0.0066705,              0.7341,             0.54001,             0.58406,             0.37449,            0.015339,           0.0092346,           0.0032457,            0.006535,            0.006535,            0.006535,             0.38755,             0.38458,            0.008499,             0.71011,              0.5437,             0.21249,             0.68935,             0.69468,            0.015375,             0.90691,             0.74227,             0.45574
                  37,            0.026964,            0.025215,           0.0061026,             0.72367,             0.58093,             0.61028,             0.37523,            0.014622,           0.0087431,           0.0026169,            0.006436,            0.006436,            0.006436,             0.38115,             0.43777,            0.026811,             0.74752,             0.43837,             0.21974,             0.77517,              0.7683,            0.051976,             0.95114,             0.67753,             0.43754
                  38,            0.027407,            0.025943,           0.0058802,             0.67179,             0.56831,             0.62689,              0.4004,            0.014299,           0.0086566,           0.0029338,            0.006337,            0.006337,            0.006337,             0.40651,             0.49093,            0.093804,             0.75434,              0.4306,             0.22625,             0.72246,             0.75099,             0.22435,              0.9625,             0.64696,             0.45411
                  39,            0.025794,            0.026859,           0.0062167,             0.81412,             0.56985,             0.62768,             0.38924,            0.013977,           0.0082089,           0.0028269,            0.006238,            0.006238,            0.006238,             0.39609,              0.5375,            0.018394,              0.7861,             0.37766,             0.21971,             0.73947,             0.84731,            0.038421,             0.97935,             0.65962,             0.50189
                  40,            0.025358,            0.025311,           0.0058831,             0.73945,             0.58227,             0.61545,              0.3817,            0.013802,           0.0088514,           0.0031944,            0.006139,            0.006139,            0.006139,             0.37966,             0.54708,            0.031776,             0.75878,             0.28823,             0.28466,             0.73403,             0.79539,            0.051488,             0.95361,             0.66136,              0.4968
                  41,            0.025944,            0.025579,           0.0049885,             0.74297,             0.60574,             0.66856,             0.38764,            0.014737,           0.0079473,            0.003035,             0.00604,             0.00604,             0.00604,             0.37171,              0.4125,            0.082766,             0.72449,             0.42289,             0.31151,             0.76832,             0.72748,             0.19694,             0.89703,             0.70557,             0.71602
                  42,            0.026026,            0.025058,           0.0060712,             0.80246,             0.58439,             0.67057,              0.4102,            0.013139,           0.0081867,           0.0027949,            0.005941,            0.005941,            0.005941,             0.33953,             0.50754,            0.039558,             0.74565,             0.46643,             0.36251,             0.68476,             0.87455,             0.10094,             0.91235,             0.70576,             0.74509
                  43,            0.026713,            0.025003,            0.006197,             0.65523,              0.6729,             0.68797,             0.42992,            0.011932,           0.0078186,           0.0027089,            0.005842,            0.005842,            0.005842,             0.38147,             0.54192,             0.18577,             0.77202,             0.45916,             0.23919,               0.664,             0.82377,              0.4175,             0.95089,             0.70773,             0.56394
                  44,            0.025001,            0.025748,           0.0053288,             0.67473,             0.66596,             0.67689,             0.38311,            0.013268,           0.0083759,           0.0028741,            0.005743,            0.005743,            0.005743,             0.37268,             0.37535,             0.13495,             0.68485,             0.45208,             0.27876,             0.68164,              0.7515,             0.39535,             0.90332,             0.67366,             0.65588
                  45,            0.026165,            0.025921,             0.00537,              0.5679,             0.67969,             0.65823,             0.41657,            0.011955,           0.0077626,           0.0026549,            0.005644,            0.005644,            0.005644,             0.36184,             0.50197,            0.078524,             0.77471,             0.47479,             0.30759,             0.66771,             0.83712,             0.20995,             0.96022,             0.69806,             0.57634
                  46,            0.026068,            0.026866,           0.0047743,             0.62246,             0.65091,             0.70085,             0.42108,            0.012834,           0.0086444,           0.0026787,            0.005545,            0.005545,            0.005545,             0.36811,             0.40885,             0.27111,              0.7492,             0.38609,             0.34311,             0.61434,             0.75946,             0.56786,             0.93219,             0.67239,             0.65888
                  47,            0.024186,            0.023873,           0.0061567,             0.52506,             0.60342,             0.65355,             0.41843,            0.013025,           0.0088177,           0.0025023,            0.005446,            0.005446,            0.005446,             0.41579,             0.49483,            0.093383,             0.77925,             0.46054,             0.26678,             0.74442,             0.70964,             0.16192,             0.95859,             0.72922,             0.61749
                  48,            0.024708,            0.024091,           0.0043612,             0.60412,             0.70103,             0.68883,             0.43561,            0.013109,           0.0081683,           0.0024135,            0.005347,            0.005347,            0.005347,             0.42401,             0.49216,             0.16194,             0.79318,             0.52664,             0.21574,             0.69695,             0.77713,             0.31325,              0.9752,             0.75633,             0.61411
                  49,            0.023773,             0.02515,           0.0046943,             0.69216,              0.6763,             0.71987,             0.43416,            0.013703,           0.0076346,           0.0023648,            0.005248,            0.005248,            0.005248,             0.40713,             0.47327,              0.1225,             0.82138,              0.5654,             0.21529,             0.67735,             0.86374,             0.41578,             0.98406,             0.78076,             0.59753
                  50,            0.022688,            0.023378,           0.0039183,             0.73316,              0.6583,             0.74488,             0.42045,            0.013865,           0.0080241,           0.0027783,            0.005149,            0.005149,            0.005149,             0.39265,             0.42402,             0.18822,             0.75824,             0.52059,             0.23901,              0.7604,             0.80615,             0.48437,             0.91763,             0.79585,             0.70486
                  51,            0.023339,            0.024726,           0.0048059,             0.79865,             0.60762,             0.73617,             0.44452,            0.012193,           0.0082988,           0.0027452,             0.00505,             0.00505,             0.00505,             0.38842,             0.53571,             0.17852,             0.75351,             0.47765,             0.33329,              0.6884,             0.80246,             0.46313,             0.94857,             0.76776,              0.7467
