               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/banana_mAP,metrics/broccoli_mAP,metrics/egg carton_mAP,    metrics/eggs_mAP,    metrics/milk_mAP, metrics/yoghurt_mAP,metrics/banana_mAP_50,metrics/broccoli_mAP_50,metrics/egg carton_mAP_50, metrics/eggs_mAP_50, metrics/milk_mAP_50,metrics/yoghurt_mAP_50
                  31,            0.029944,            0.029932,           0.0075357,             0.80563,             0.56408,             0.67809,             0.43633,            0.014624,           0.0079835,            0.003465,             0.00703,             0.00703,             0.00703,             0.43021,             0.47468,            0.059156,             0.77341,             0.43803,              0.4425,              0.7401,             0.84412,             0.12733,             0.92213,             0.66075,             0.77412
                  32,             0.03018,            0.028998,           0.0077598,             0.77904,             0.43372,             0.56136,             0.34792,             0.01398,           0.0083491,           0.0050809,            0.006931,            0.006931,            0.006931,             0.39515,             0.52182,           0.0087207,             0.65646,             0.39598,             0.10939,             0.71365,             0.86828,            0.030459,             0.83539,             0.60538,               0.315
                  33,            0.028737,            0.028384,           0.0076598,             0.51991,             0.53254,               0.589,             0.39989,            0.013389,           0.0083645,           0.0047722,            0.006832,            0.006832,            0.006832,             0.34659,             0.52304,            0.011939,             0.73431,             0.45356,              0.3299,              0.6539,             0.81421,            0.022521,             0.89052,             0.63191,             0.52094
                  34,            0.027625,            0.028285,           0.0066656,             0.68333,             0.55889,             0.59995,             0.39006,            0.012473,           0.0084145,           0.0039317,            0.006733,            0.006733,            0.006733,             0.36722,             0.42988,            0.031306,             0.74844,             0.45519,             0.30834,             0.64369,             0.72997,            0.062428,             0.94777,             0.65639,             0.55944
                  35,            0.028787,            0.030065,           0.0063543,             0.83651,             0.55096,              0.6088,             0.43276,            0.012881,           0.0087971,           0.0036146,            0.006634,            0.006634,            0.006634,             0.42993,              0.4805,            0.042656,             0.79005,             0.50988,             0.34353,             0.67464,             0.75368,            0.059967,             0.96414,             0.71555,             0.48481
                  36,            0.028206,             0.03067,           0.0074445,             0.71307,             0.57108,             0.60309,             0.41291,            0.012861,           0.0080686,           0.0033717,            0.006535,            0.006535,            0.006535,             0.40536,             0.53014,            0.031854,             0.80002,             0.37062,             0.33943,             0.65105,             0.80362,            0.057523,             0.97264,             0.61425,             0.51946
                  37,            0.027577,             0.02826,           0.0075758,             0.57142,             0.57429,             0.64232,             0.42734,            0.013562,           0.0083793,           0.0040087,            0.006436,            0.006436,            0.006436,             0.41533,             0.53504,            0.068516,             0.71871,             0.42522,              0.4012,             0.77627,             0.78823,             0.10141,             0.90617,             0.67349,             0.60834
                  38,            0.027567,            0.029458,           0.0064985,             0.53274,             0.65832,             0.65182,             0.39555,            0.013859,           0.0077457,            0.004133,            0.006337,            0.006337,            0.006337,             0.36162,             0.32692,            0.089017,             0.71954,             0.43423,             0.44194,             0.61285,             0.81289,             0.15446,             0.91793,             0.72067,             0.69213
                  39,             0.02861,            0.028473,           0.0069434,             0.59147,             0.56058,             0.64701,             0.44688,            0.012568,           0.0082902,            0.003922,            0.006238,            0.006238,            0.006238,             0.33978,             0.59534,            0.067638,             0.74969,             0.50109,             0.42775,              0.6018,             0.87303,             0.11067,             0.93635,             0.68989,             0.67029
                  40,             0.02696,            0.027278,           0.0088283,             0.63411,             0.54441,             0.65356,             0.42065,            0.013432,           0.0078088,           0.0038431,            0.006139,            0.006139,            0.006139,             0.32003,              0.5786,            0.013752,             0.76191,              0.4187,             0.43092,             0.64664,             0.91123,            0.020595,             0.94452,             0.68569,             0.71266
