               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/banana_mAP,metrics/egg carton_mAP,    metrics/eggs_mAP,    metrics/milk_mAP,metrics/tangerine_mAP, metrics/yoghurt_mAP,metrics/banana_mAP_50,metrics/egg carton_mAP_50, metrics/eggs_mAP_50, metrics/milk_mAP_50,metrics/tangerine_mAP_50,metrics/yoghurt_mAP_50
                  30,            0.077043,            0.068879,            0.034999,           0.0034051,             0.18096,            0.006395,           0.0016043,            0.068529,            0.044294,            0.034841,            0.004258,            0.004258,            0.004258,           0.0010281,                   0,          0.00028779,           0.0030121,            0.003652,           0.0016457,           0.0051407,                   0,           0.0014389,            0.010035,            0.018464,           0.0032914
                  31,            0.079155,            0.056015,            0.037277,           0.0040878,             0.25147,            0.030986,           0.0076763,            0.068736,            0.046062,            0.035021,             0.00406,             0.00406,             0.00406,            0.011502,                   0,                   0,           0.0023077,            0.019531,            0.012717,            0.055604,                   0,                   0,           0.0090292,            0.063391,            0.057893
                  32,            0.077202,            0.065748,            0.036237,           0.0044362,              0.2098,            0.010703,           0.0030001,            0.065623,            0.048317,            0.035135,            0.003862,            0.003862,            0.003862,           0.0015991,                   0,                   0,           0.0037885,           0.0083263,           0.0042869,            0.003682,                   0,                   0,            0.019362,            0.023662,            0.017515
                  33,             0.07709,            0.068279,            0.034286,           0.0045377,             0.22262,            0.010298,           0.0027382,            0.065566,            0.050878,            0.034334,            0.003664,            0.003664,            0.003664,           0.0042034,                   0,          0.00018797,           0.0022272,           0.0074566,           0.0023541,            0.012808,                   0,           0.0018797,             0.01066,            0.029501,           0.0069416
                  34,            0.077727,             0.06554,            0.033737,           0.0036341,             0.20596,            0.010708,           0.0020083,            0.065242,            0.050929,            0.034227,            0.003466,            0.003466,            0.003466,           0.0019169,                   0,          0.00010769,           0.0018097,           0.0069812,           0.0012344,            0.014863,                   0,           0.0010769,            0.018097,            0.026097,           0.0041146
                  35,            0.078017,            0.077376,            0.032655,             0.69244,            0.055556,            0.021238,           0.0040788,            0.062676,            0.049774,            0.035358,            0.003268,            0.003268,            0.003268,           0.0014453,                   0,                   0,           0.0011752,            0.021852,                   0,           0.0059959,                   0,                   0,            0.011752,             0.10968,                   0
                  36,            0.076824,            0.066767,            0.033656,              0.5166,            0.027778,            0.015554,           0.0038101,            0.061464,             0.04585,            0.035785,             0.00307,             0.00307,             0.00307,          0.00079243,                   0,                   0,           0.0014849,            0.020583,                   0,           0.0060099,                   0,                   0,            0.014849,            0.072464,                   0
                  37,            0.075515,            0.062772,            0.032415,             0.34715,            0.058333,            0.012892,           0.0033798,            0.061925,             0.03754,             0.03452,            0.002872,            0.002872,            0.002872,           0.0038618,                   0,            0.000246,           0.0093519,           0.0056502,           0.0011687,            0.015834,                   0,             0.00082,            0.032279,             0.01926,           0.0091624
                  38,            0.074925,            0.067581,            0.032656,             0.18404,            0.097222,            0.032327,           0.0082245,            0.059774,            0.041876,            0.033661,            0.002674,            0.002674,            0.002674,           0.0040944,                   0,                   0,           0.0061048,            0.039148,                   0,            0.014932,                   0,                   0,            0.034025,             0.14501,                   0
                  39,            0.074612,             0.07012,            0.030943,             0.36913,             0.14167,            0.031299,           0.0080897,             0.06213,            0.044773,            0.032663,            0.002476,            0.002476,            0.002476,           0.0090864,                   0,                   0,           0.0098079,            0.029644,                   0,            0.028559,                   0,                   0,            0.066045,            0.093193,                   0
                  40,            0.074392,            0.058628,            0.031324,             0.18698,             0.28226,            0.027926,           0.0062357,            0.065861,            0.042513,            0.033562,            0.002278,            0.002278,            0.002278,            0.012223,                   0,           0.0043149,            0.013294,           0.0075825,                   0,            0.058189,                   0,            0.010059,            0.066469,            0.032837,                   0
                  41,            0.074316,            0.063595,            0.030838,             0.21387,             0.11389,            0.017483,           0.0034097,            0.066682,            0.045543,            0.032168,             0.00208,             0.00208,             0.00208,          0.00054596,                   0,          0.00062614,           0.0098535,           0.0094326,                   0,           0.0040949,                   0,           0.0022749,            0.063199,             0.03533,                   0
                  42,            0.073087,            0.075471,            0.029141,             0.37059,             0.10686,            0.042647,           0.0074032,            0.065988,            0.044554,            0.031495,            0.001882,            0.001882,            0.001882,            0.014046,                   0,          0.00047487,           0.0073294,            0.022183,          0.00038544,            0.057444,                   0,           0.0023743,             0.06988,             0.12233,           0.0038544
                  43,            0.073325,            0.065167,            0.031983,              0.3718,            0.086111,            0.034525,            0.006864,            0.065965,            0.039871,            0.031313,            0.001684,            0.001684,            0.001684,           0.0069415,                   0,           0.0011873,           0.0044213,             0.02353,           0.0051037,            0.028811,                   0,           0.0051353,            0.044213,             0.11549,            0.013498
                  44,            0.072422,            0.066158,            0.029436,             0.52846,            0.055556,            0.033932,           0.0088137,            0.063753,            0.039622,            0.030878,            0.001486,            0.001486,            0.001486,            0.006083,                   0,           0.0012019,           0.0024709,            0.039913,           0.0032136,            0.027703,                   0,           0.0037242,            0.024709,             0.13987,            0.007584
                  45,            0.076112,            0.066815,            0.031132,              0.7242,            0.069444,            0.068825,            0.017155,            0.064172,            0.037929,            0.031744,            0.001288,            0.001288,            0.001288,           0.0042196,                   0,           0.0011097,           0.0019404,            0.091466,           0.0041942,            0.015089,                   0,           0.0031149,            0.015763,             0.36671,            0.012275
                  46,            0.072415,            0.070501,            0.030429,             0.73241,            0.055556,            0.057574,            0.015408,            0.065513,            0.036938,            0.033245,             0.00109,             0.00109,             0.00109,           0.0024422,                   0,           0.0016569,           0.0037717,            0.079837,            0.004742,           0.0074214,                   0,           0.0033153,            0.017707,             0.30064,            0.016365
                  47,            0.072724,            0.062544,            0.028516,             0.77625,            0.053652,             0.05793,            0.013993,            0.067577,            0.036603,            0.034273,            0.000892,            0.000892,            0.000892,           0.0018411,                   0,           0.0012283,           0.0045724,            0.070857,           0.0054585,           0.0044402,                   0,           0.0027411,            0.025276,             0.30104,             0.01408
                  48,            0.073953,            0.061157,             0.02894,             0.72297,            0.055556,             0.06401,            0.016521,            0.066735,            0.036046,            0.032742,            0.000694,            0.000694,            0.000694,           0.0024951,                   0,           0.0011382,           0.0030474,            0.088464,           0.0039818,           0.0083658,                   0,           0.0021479,            0.016832,             0.34673,           0.0099862
                  49,            0.071779,            0.060429,             0.03301,             0.71191,            0.069444,            0.043248,           0.0087076,            0.066156,            0.035938,            0.031815,            0.000496,            0.000496,            0.000496,           0.0027695,                   0,           0.0012567,           0.0020797,            0.042367,           0.0037723,           0.0077659,                   0,           0.0025172,            0.010473,             0.22892,           0.0098118
